"","UF","remuneracao_media","desvio_padrao"
"1","RO",2030.28,5653.47
"2","AC",1855.13,2515.53
"3","AM",1515.28,2190.77
"4","RR",2064.8,3571.38
"5","PA",1505.31,2204.9
"6","AP",1994.13,2304.08
"7","TO",1864.7,2582.44
"8","MA",1185.82,1577.32
"9","PI",1365.61,2146.47
"10","CE",1397.92,2774.44
"11","RN",1501.32,1982.45
"12","PB",1610.84,2927.08
"13","PE",1517.18,2500.17
"14","AL",1333.42,1598.37
"15","SE",1368.1,1969.04
"16","BA",1351.29,2193.03
"17","MG",1918.43,3207.83
"18","ES",2194.27,3441.79
"19","RJ",2613.96,3689.14
"20","SP",2704.09,5043.84
"21","PR",2481.48,3714.97
"22","SC",2473.5,2847.81
"23","RS",2545.1,3986.63
"24","MS",2262.49,3195.13
"25","MT",2177.15,2474.61
"26","GO",2019.95,2233.59
"27","DF",3721.63,5136.48
